Character,Equip,Strategy,Blessing,Journeys,Turns,DPS,MaxHit,Stats
로자리아(보스1인),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",5,5177.2,36138.43,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",10,5464.2,38667.22,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",15,5495.71,38667.22,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",5,4003.19,19983.55,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",10,4468.44,25229.23,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",15,4836.02,46253.59,"{'atk': 9093.2775, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 피의 메아리",5,4898.14,33190.35,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.5}"
로자리아(보스1인),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 피의 메아리",10,5301.78,37248.97,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.5}"
로자리아(보스1인),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 피의 메아리",15,5251.1,36379.26,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.5}"
로자리아(보스1인),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",5,3908.15,19506.46,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",10,4362.02,24626.91,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
로자리아(보스1인),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 깊은 애도 | 메이드 바이 페트라 | 불굴의 역작",15,4720.74,45149.33,"{'atk': 8919.1275, 'spd': 169.0, 'cr': 0.35, 'cd': 0.62}"
